10,10,10,10,10
9.1837,14.865,0.24447,9.9592,9.9846
9.1374,14.983,0.001907,9.9847,9.9661
9.1106,14.982,1.456e-05,10.012,9.9476
9.0839,14.98,1.8024e-07,10.039,9.929
9.0572,14.978,-2.1304e-07,10.066,9.9105
9.0305,14.975,2.2769e-07,10.093,9.892
9.0038,14.973,-2.1591e-07,10.12,9.8735
8.9772,14.971,2.2566e-08,10.147,9.855
8.9505,14.969,-7.6084e-08,10.174,9.8365
8.9238,14.966,-1.131e-08,10.201,9.818
8.8972,14.964,2.1523e-07,10.228,9.7995
8.8706,14.962,-1.6909e-07,10.255,9.7811
8.844,14.96,7.4447e-08,10.282,9.7626
8.8173,14.957,-3.2936e-07,10.309,9.7441
8.7907,14.955,5.4357e-07,10.336,9.7257
8.7641,14.953,-2.122e-07,10.363,9.7073
8.7376,14.951,2.5244e-07,10.39,9.6888
8.711,14.948,-4.7786e-07,10.417,9.6704
8.6844,14.946,2.8415e-07,10.444,9.652
8.6579,14.944,-1.499e-07,10.471,9.6335
8.6313,14.942,1.8695e-07,10.498,9.6151
8.6048,14.94,-7.981e-08,10.525,9.5967
8.5782,14.937,-1.0923e-07,10.552,9.5783
8.5517,14.935,-1.6193e-08,10.579,9.5599
8.5252,14.933,-1.6966e-07,10.606,9.5416
8.4987,14.931,5.827e-07,10.633,9.5232
8.4722,14.928,-2.1107e-07,10.66,9.5048
8.4457,14.926,1.7421e-07,10.686,9.4865
8.4193,14.924,-5.0199e-07,10.713,9.4681
8.3928,14.922,2.6613e-07,10.74,9.4498
8.3663,14.919,-7.736e-08,10.767,9.4314
8.3399,14.917,1.6357e-07,10.794,9.4131
8.3135,14.915,-1.2416e-07,10.821,9.3948
8.287,14.913,-3.4259e-07,10.848,9.3764
8.2606,14.911,1.0879e-07,10.875,9.3581
8.2342,14.908,-1.5802e-07,10.902,9.3398
8.2078,14.906,5.8186e-07,10.928,9.3215
8.1814,14.904,-1.8133e-07,10.955,9.3032
8.155,14.902,2.1408e-07,10.982,9.2849
8.1287,14.899,-3.947e-07,11.009,9.2667
8.1023,14.897,-2.2391e-07,11.036,9.2484
8.076,14.895,3.1339e-07,11.063,9.2301
8.0496,14.893,1.8173e-08,11.089,9.2119
8.0233,14.891,1.1159e-07,11.116,9.1936
7.997,14.888,-6.6445e-07,11.143,9.1754
7.9707,14.886,3.6689e-07,11.17,9.1572
7.9444,14.884,-1.7891e-07,11.196,9.1389
7.9181,14.882,1.8919e-07,11.223,9.1207
7.8918,14.879,5.781e-07,11.25,9.1025
7.8655,14.877,-5.3106e-09,11.277,9.0843
7.8393,14.875,-7.9786e-08,11.303,9.0661
7.813,14.873,-7.4508e-07,11.33,9.0479
7.7868,14.871,3.8903e-07,11.357,9.0297
7.7606,14.868,-6.078e-08,11.384,9.0115
7.7343,14.866,1.7216e-07,11.41,8.9934
7.7081,14.864,4.6952e-08,11.437,8.9752
7.6819,14.862,-4.0933e-07,11.464,8.9571
7.6558,14.86,1.0079e-07,11.491,8.9389
7.6296,14.857,-2.4761e-07,11.517,8.9208
7.6034,14.855,3.0912e-07,11.544,8.9026
7.5773,14.853,4.1952e-07,11.571,8.8845
7.5511,14.851,1.0344e-07,11.597,8.8664
7.525,14.849,-2.2585e-07,11.624,8.8483
7.4989,14.846,-1.0745e-06,11.651,8.8302
7.4727,14.844,4.4188e-07,11.677,8.8121
7.4466,14.842,-9.9143e-08,11.704,8.794
7.4206,14.84,1.9103e-07,11.731,8.7759
7.3945,14.838,8.598e-07,11.757,8.7578
7.3684,14.835,-9.2345e-08,11.784,8.7397
7.3423,14.833,2.4314e-08,11.81,8.7217
7.3163,14.831,-6.0086e-07,11.837,8.7036
7.2903,14.829,-4.9462e-07,11.864,8.6856
7.2642,14.827,3.6801e-07,11.89,8.6675
7.2382,14.824,3.5361e-08,11.917,8.6495
7.2122,14.822,2.7118e-07,11.943,8.6315
7.1862,14.82,-2.0153e-07,11.97,8.6135
7.1602,14.818,1.5883e-07,11.997,8.5955
7.1343,14.816,-1.4091e-07,12.023,8.5775
7.1083,14.813,-4.0184e-07,12.05,8.5595
7.0824,14.811,2.8894e-07,12.076,8.5415
7.0564,14.809,-2.0141e-07,12.103,8.5235
7.0305,14.807,4.7161e-08,12.129,8.5055
7.0046,14.805,9.7761e-07,12.156,8.4876
6.9787,14.802,-3.8521e-08,12.182,8.4696
6.9528,14.8,7.6438e-08,12.209,8.4516
6.9269,14.798,-6.8245e-07,12.235,8.4337
6.901,14.796,-5.2475e-07,12.262,8.4158
6.8752,14.794,1.2725e-07,12.288,8.3978
6.8493,14.791,-1.2841e-07,12.315,8.3799
