10,10,10,10,10
9.1837,14.865,0.24447,9.9592,9.9826
9.1374,14.983,0.001907,9.9847,9.9621
9.1106,14.982,1.456e-05,10.012,9.9416
9.0839,14.98,1.8024e-07,10.039,9.921
9.0572,14.978,-2.1304e-07,10.066,9.9005
9.0305,14.975,2.2769e-07,10.093,9.88
9.0038,14.973,0.00013904,10.12,9.8595
8.9121,15.371,0.38371,10.142,9.8388
8.7233,16.357,0.39099,10.157,9.8166
8.5304,17.358,0.3691,10.174,9.7926
8.3359,18.357,0.34957,10.193,9.7666
8.1399,19.355,0.33269,10.214,9.7387
7.9423,20.353,0.31711,10.236,9.7089
7.7431,21.349,0.30333,10.261,9.6773
7.5861,22.075,0.025704,10.29,9.6438
7.5452,22.083,2.4765e-05,10.33,9.6098
7.5063,22.078,9.1709e-08,10.37,9.5759
7.4675,22.073,2.5061e-07,10.41,9.5419
7.4287,22.068,7.1182e-08,10.449,9.508
7.3899,22.064,6.7686e-07,10.489,9.4741
7.3511,22.059,-5.6911e-08,10.529,9.4401
7.3124,22.054,5.6645e-07,10.569,9.4063
7.2737,22.049,-1.712e-07,10.608,9.3724
7.235,22.044,-2.0412e-07,10.648,9.3385
7.1963,22.039,1.1302e-08,10.688,9.3047
7.1577,22.034,-3.2379e-07,10.728,9.2709
7.1191,22.03,-5.8312e-07,10.767,9.2371
7.0805,22.025,1.6506e-08,10.807,9.2033
7.0419,22.02,-3.4459e-07,10.846,9.1695
7.0034,22.015,-1.8207e-07,10.886,9.1357
6.9649,22.01,0.00012582,10.926,9.102
6.8535,22.453,0.28595,10.959,9.0681
6.6521,23.443,0.28351,10.987,9.0326
6.4484,24.437,0.27347,11.017,8.9952
6.2432,25.43,0.26437,11.049,8.956
6.0365,26.422,0.25636,11.082,8.9149
5.8282,27.413,0.24873,11.117,8.8719
5.6185,28.403,0.24208,11.154,8.8271
5.4549,29.101,0.012892,11.196,8.7805
5.404,29.099,2.5833e-06,11.248,8.7334
5.3543,29.09,5.1497e-08,11.3,8.6864
5.3046,29.082,-4.3929e-08,11.353,8.6394
5.255,29.073,6.993e-07,11.405,8.5924
5.2055,29.065,-5.3345e-08,11.457,8.5455
5.156,29.056,1.8401e-07,11.509,8.4986
5.1066,29.048,-3.9161e-07,11.561,8.4517
5.0572,29.04,3.6427e-07,11.613,8.4049
5.0079,29.031,-2.0161e-09,11.665,8.3581
4.9587,29.023,7.1792e-07,11.717,8.3113
4.9095,29.014,1.0599e-07,11.769,8.2646
4.8604,29.006,1.0897e-06,11.821,8.2179
4.8114,28.997,9.9356e-08,11.872,8.1712
4.7625,28.989,1.0528e-06,11.924,8.1246
4.7136,28.981,7.0694e-08,11.976,8.078
4.6648,28.972,0.00011835,12.028,8.0314
4.54,29.433,0.24264,12.073,7.9847
4.3289,30.42,0.24167,12.114,7.9363
4.1164,31.407,0.23753,12.155,7.8862
3.9026,32.394,0.23388,12.199,7.8342
3.6878,33.38,0.23116,12.244,7.7804
3.472,34.365,0.22892,12.291,7.7247
3.2552,35.349,0.22726,12.34,7.6673
3.0856,36.034,0.010991,12.395,7.6081
3.0274,36.027,1.6086e-06,12.459,7.5485
2.9704,36.014,-3.4965e-07,12.523,7.489
2.9136,36.001,1.0144e-07,12.587,7.4295
2.857,35.988,1.3727e-07,12.65,7.37
2.8006,35.975,1.5427e-07,12.714,7.3107
2.7444,35.962,-5.2035e-08,12.778,7.2514
2.6884,35.949,6.1881e-07,12.842,7.1921
2.6327,35.936,-5.3236e-09,12.906,7.1329
2.5772,35.923,6.3719e-08,12.969,7.0738
2.522,35.91,-6.5814e-08,13.033,7.0147
2.467,35.898,-1.0779e-07,13.096,6.9557
2.4123,35.885,-1.9159e-07,13.16,6.8967
2.3578,35.872,4.4333e-08,13.223,6.8378
2.3036,35.859,2.0302e-07,13.286,6.779
2.2497,35.846,1.0564e-07,13.35,6.7203
2.1961,35.833,0.00011968,13.413,6.6616
2.069,36.28,0.26094,13.47,6.6027
1.8574,37.256,0.27258,13.522,6.5424
1.646,38.232,0.28206,13.575,6.4803
1.4359,39.206,0.29568,13.63,6.4164
1.228,40.176,0.31501,13.686,6.3508
1.0231,41.14,0.34279,13.745,6.2834
0.82313,42.097,0.38436,13.805,6.2144
0.66401,42.821,0.076084,13.869,6.1437
0.61634,42.84,0.0009065,13.944,6.0725
0.57573,42.822,1.3301e-05,14.019,6.0014
0.53661,42.804,2.9291e-07,14.093,5.9304
0.49895,42.785,-7.6084e-08,14.168,5.8595
0.4628,42.767,-3.7946e-07,14.243,5.7887
0.42819,42.749,-5.426e-07,14.317,5.718
0.39516,42.731,9.215e-07,14.392,5.6474
0.36372,42.712,5.1712e-07,14.466,5.577
0.33391,42.694,9.426e-08,14.54,5.5066
0.30572,42.676,6.887e-08,14.614,5.4364
0.27917,42.658,-7.1836e-08,14.688,5.3663
0.25425,42.64,-1.4706e-07,14.762,5.2963
0.23094,42.621,-2.035e-08,14.835,5.2265
0.20922,42.603,-8.0332e-08,14.909,5.1567
0.18907,42.585,-8.4719e-09,14.982,5.0871
0.17043,42.567,0.00015336,15.056,5.0176
0.133,42.721,0.83568,15.127,4.9482
0.070307,43.219,1.7871,15.194,4.8782
0.041195,43.674,2.8188,15.262,4.8074
0.034658,44.126,3.8541,15.331,4.736
0.033633,44.647,4.7504,15.399,4.6637
0.033299,45.242,5.4967,15.468,4.5906
0.033055,45.9,6.1368,15.536,4.5165
0.033036,46.589,5.6743,15.606,4.4413
0.033489,47.189,4.303,15.677,4.3651
0.033816,47.675,3.1779,15.751,4.288
