10,10,10,10,10,10
9.3197,14.061,10.715,0.27339,9.9583,9.9856
9.2575,14.17,10.732,0.0025685,9.9811,9.9687
9.2129,14.168,10.729,2.3694e-05,10.006,9.9517
9.1685,14.164,10.727,2.5738e-07,10.03,9.9347
9.1241,14.161,10.724,-1.7863e-07,10.055,9.9178
9.0798,14.157,10.721,-9.2943e-07,10.079,9.9008
9.0353,14.154,10.719,0.006029,10.104,9.8839
8.8987,14.73,10.818,0.48008,10.12,9.8666
8.6979,15.691,10.986,0.46658,10.131,9.8476
8.4926,16.658,11.154,0.44046,10.144,9.8268
8.2842,17.625,11.323,0.41714,10.158,9.8042
8.0729,18.59,11.49,0.39707,10.175,9.7797
7.8587,19.554,11.658,0.37871,10.193,9.7535
7.6418,20.518,11.826,0.36243,10.213,9.7253
7.4371,21.392,11.977,0.12559,10.236,9.6954
7.3691,21.441,11.983,0.00015685,10.272,9.6646
7.3104,21.434,11.979,2.3293e-07,10.31,9.6339
7.2517,21.426,11.975,-2.4428e-07,10.347,9.6031
7.1932,21.419,11.971,1.8547e-07,10.385,9.5724
7.1346,21.412,11.967,-3.0135e-07,10.422,9.5417
7.0762,21.405,11.963,1.2552e-07,10.46,9.511
7.0177,21.398,11.959,-3.4659e-07,10.497,9.4804
6.9594,21.391,11.955,7.6941e-08,10.534,9.4497
6.9011,21.384,11.951,-3.8095e-07,10.572,9.4191
6.8428,21.376,11.947,1.0831e-06,10.609,9.3885
6.7847,21.369,11.943,-7.9669e-08,10.647,9.3579
6.7265,21.362,11.939,-3.5424e-07,10.684,9.3274
6.6685,21.355,11.935,6.8143e-07,10.721,9.2968
6.6105,21.348,11.931,-1.7215e-07,10.758,9.2663
6.5525,21.341,11.927,4.1337e-07,10.796,9.2358
6.4945,21.335,11.923,0.005423,10.833,9.2053
6.3302,21.965,12.032,0.34798,10.861,9.1744
6.1087,22.926,12.199,0.33843,10.885,9.1419
5.8846,23.887,12.365,0.32726,10.91,9.1075
5.6584,24.847,12.532,0.31722,10.938,9.0713
5.4301,25.807,12.698,0.30841,10.967,9.0333
5.1998,26.766,12.864,0.3005,10.998,8.9935
4.9676,27.724,13.03,0.29325,11.03,8.9519
4.7506,28.581,13.178,0.087327,11.066,8.9085
4.6734,28.609,13.179,2.9284e-05,11.115,8.8643
4.6031,28.597,13.174,-4.6765e-08,11.165,8.8202
4.533,28.585,13.168,2.0871e-07,11.215,8.7761
4.463,28.573,13.163,-2.9088e-07,11.265,8.732
4.3932,28.561,13.157,-1.0787e-07,11.315,8.688
4.3235,28.549,13.152,1.679e-09,11.365,8.644
4.254,28.537,13.146,-3.6077e-07,11.415,8.6
4.1847,28.526,13.141,2.0472e-07,11.465,8.5561
4.1156,28.514,13.135,1.2439e-07,11.515,8.5122
4.0466,28.502,13.13,-2.0867e-08,11.565,8.4684
