"","Cell","Organism","Attribute","Value","Nlevel"
"123",3,"7","StoredNitrogen",0.056574,"low"
"124",4,"7","StoredNitrogen",0.035556,"low"
"125",5,"7","StoredNitrogen",0.035027,"low"
"126",6,"7","StoredNitrogen",0.041977,"low"
"127",7,"7","StoredNitrogen",0.041156,"low"
"128",8,"7","StoredNitrogen",0.046408,"low"
"129",9,"7","StoredNitrogen",0.02309,"low"
"130",10,"7","StoredNitrogen",0.023045,"low"
"131",11,"7","StoredNitrogen",0.04082,"low"
"132",12,"7","StoredNitrogen",0.044456,"low"
"133",13,"7","StoredNitrogen",0.083047,"low"
"134",14,"7","StoredNitrogen",0.049127,"low"
"135",15,"7","StoredNitrogen",0.048231,"low"
"136",16,"7","StoredNitrogen",0.05586,"low"
"137",17,"7","StoredNitrogen",0.051099,"low"
"138",18,"7","StoredNitrogen",0.051099,"low"
"139",19,"7","StoredNitrogen",0.13099,"low"
"140",20,"7","StoredNitrogen",1.5094,"low"
"141",1,"8","StoredNitrogen",0.75913,"low"
"142",2,"8","StoredNitrogen",0.031386,"low"
"143",3,"8","StoredNitrogen",0.031386,"low"
"144",4,"8","StoredNitrogen",0.052633,"low"
"145",5,"8","StoredNitrogen",0.031706,"low"
"146",6,"8","StoredNitrogen",0.031155,"low"
"147",7,"8","StoredNitrogen",0.040459,"low"
"148",8,"8","StoredNitrogen",0.040276,"low"
"149",9,"8","StoredNitrogen",0.048728,"low"
"150",10,"8","StoredNitrogen",0.025396,"low"
"151",11,"8","StoredNitrogen",0.02569,"low"
"152",12,"8","StoredNitrogen",0.093895,"low"
"153",13,"8","StoredNitrogen",0.088788,"low"
"154",14,"8","StoredNitrogen",0.042199,"low"
"155",15,"8","StoredNitrogen",0.041957,"low"
"156",16,"8","StoredNitrogen",0.04326,"low"
"157",17,"8","StoredNitrogen",0.043594,"low"
"158",18,"8","StoredNitrogen",0.074982,"low"
"159",19,"8","StoredNitrogen",0.099218,"low"
"160",20,"8","StoredNitrogen",1.3517,"low"
"161",1,"9","StoredNitrogen",1.3569,"low"
"162",2,"9","StoredNitrogen",0.088071,"low"
"163",3,"9","StoredNitrogen",0.073908,"low"
"164",4,"9","StoredNitrogen",0.043704,"low"
"165",5,"9","StoredNitrogen",0.043773,"low"
"166",6,"9","StoredNitrogen",0.045337,"low"
"167",7,"9","StoredNitrogen",0.042472,"low"
"168",8,"9","StoredNitrogen",0.04717,"low"
"169",9,"9","StoredNitrogen",0.074676,"low"
"170",10,"9","StoredNitrogen",0.050644,"low"
"171",11,"9","StoredNitrogen",0.023192,"low"
"172",12,"9","StoredNitrogen",0.02313,"low"
"173",13,"9","StoredNitrogen",0.039578,"low"
"174",14,"9","StoredNitrogen",0.040331,"low"
"175",15,"9","StoredNitrogen",0.033442,"low"
"176",16,"9","StoredNitrogen",0.033645,"low"
"177",17,"9","StoredNitrogen",0.053751,"low"
"178",18,"9","StoredNitrogen",0.03362,"low"
"179",19,"9","StoredNitrogen",0.03362,"low"
"180",20,"9","StoredNitrogen",0.79506,"low"
"181",1,"10","StoredNitrogen",0.67372,"low"
"182",2,"10","StoredNitrogen",0.67396,"low"
"183",3,"10","StoredNitrogen",0.027817,"low"
"184",4,"10","StoredNitrogen",0.027817,"low"
